"flybase_gene_ID" "t0" "t1" "t2" "t4" "t8" "t16" "t24"
"427" "FBgn0002775" 8069 4748 2945 1387 962 790 1469
"428" "FBgn0002778" 11831 10159 7984 6460 2380 1410 2444
"429" "FBgn0002780" 141023 130279 100755 90376 23777 13961 18919
"430" "FBgn0002781" 13008 9517 6212 4400 2912 1915 6961
"431" "FBgn0002783" 21307 17032 13445 8128 4338 2871 11696
"432" "FBgn0002787" 24892 23854 22404 20300 8696 3648 7803
"433" "FBgn0002789" 0 0 0 0 0 0 4
"434" "FBgn0002791" 5264 4611 4090 1919 857 935 1819
"435" "FBgn0002838" 6 9 11 0 0 4 2
"436" "FBgn0002842" 0 0 0 0 0 0 1
"437" "FBgn0002855" 0 1 0 0 0 0 0
"438" "FBgn0002856" 0 0 0 0 0 0 0
"439" "FBgn0002862" 1 1 0 0 1 8 0
"440" "FBgn0002863" 0 0 0 0 0 0 0
"441" "FBgn0002865" 0 0 0 0 0 0 0
"442" "FBgn0002868" 5778 4783 4162 4279 4638 2392 1918
"443" "FBgn0002869" 0 0 0 0 0 0 0
"444" "FBgn0002872" 2979 2327 1756 1240 808 608 1676
"445" "FBgn0002873" 1901 1374 944 1456 1209 923 3336
"446" "FBgn0002878" 2243 564 217 351 332 326 1392
"447" "FBgn0002887" 5766 2679 991 1239 999 1171 1756
"448" "FBgn0002891" 4542 2619 1962 1650 1440 1020 2006
"449" "FBgn0002899" 3475 2131 1484 869 703 462 1521
"450" "FBgn0002901" 3762 2161 1143 705 433 376 686
"451" "FBgn0002905" 3533 1084 523 478 477 352 975
"452" "FBgn0002906" 2262 1260 655 533 393 394 1206
"453" "FBgn0002909" 0 0 0 0 0 0 0
"454" "FBgn0002914" 13878 12067 9333 5623 2544 1930 4607
"455" "FBgn0002917" 4 0 1 5 1 4 18
